id,auteur,titre,page
727732,bourassa-voisin,"Cerveau et machine : les frontières d'une analogie productive",auteurs_quarto/bourassa-voisin.html
726065,audrey-bonjour,"« Pollution numérique » : métaphore environnementale, médiation sémiotique et frontière éthico‑esthétique du numérique",auteurs_quarto/audrey-bonjour.html
57797,"Alexandre Joux","""La métaphore de la bulle, masque ou révélateur des logiques financières dans l'IA ? Une étude de cas sur les limites des approches interprétatives par substitution analogique",auteurs_quarto/alexandre_joux.html
58401,"Stéphanie Lukasik","IA et Newsinfluenceurs : la nouvelle réinformation",auteurs_quarto/st_phanie_lukasik.html
59105,"Olivier Nannipieri","De quoi la métaphore de la chambre chinoise est-elle la métaphore ?",auteurs_quarto/olivier_nannipieri.html
62712,"Malek Ghenima","Le crible et la carte : L'Intelligence Économique comme analogie cognitive de l'organisation des savoirs",auteurs_quarto/malek_ghenima.html
68088,"Chu-Yin Chen","Vers une Frontière Transparente : L'Analogie Énactive comme Interface de Cocréation",auteurs_quarto/chu-yin_chen.html
71488,"Nouria Harbi","Le Filtre et la Trace : Analogies Immunitaires pour la Résilience des Données",auteurs_quarto/nouria_harbi.html
76679,"Hafida Boulekbache","Le territoire comme système : hybridation des analogies architecturales, du croquis aux modèles génératifs dans la ville durable",auteurs_quarto/hafida_boulekbache.html
83022,"Ioan Roxin","Des environnements intelligents aux écosystèmes analogiques : l'Internet des Objets et le Web sémantique au service des Humanités Numériques",auteurs_quarto/ioan_roxin.html
85474,"Imad Saleh","Interfaces pervasives et analogies du contrôle : Vers une éthique de l'appropriation technologique",auteurs_quarto/imad_saleh.html
85509,"Samuel Szoniecky","Architectures de l'analogie : concevoir des écosystèmes de connaissances comme des jardins partagés",auteurs_quarto/samuel_szoniecky.html
85515,"Orélie Desfriches Doria","« Mise en controverse de la notion de « Patrimoine Immatériel » : vers une perspective critique. »",auteurs_quarto/or_lie_desfriches_doria.html
85525,"Claire Noy","Frontière entre subjectivité narrée et expérience simulée",auteurs_quarto/claire_noy.html
94674,"Renée Bourassa","Analogie du simulacre et frontières de l'authenticité dans les interfaces narratives",auteurs_quarto/ren_e_bourassa.html
137545,"Marc Tanti","L'analogie entre le corpus numérique et le corps biologique ou comment Filtrer le chaos informationnel pour détecter le signal ""pathologique""",auteurs_quarto/marc_tanti.html
